Event	ID	Name			Wwise Object Path	Notes
	41288598	UI_Menu_Confirm			\UI\MenuUI\UI_Menu_Confirm	
	123463240	ENV_F1x_Watcha_Got			\Environment\NPC\F1x\ENV_F1x_Watcha_Got	
	322764029	Player_Dialogue_End_SFX			\Environment\Player\Player_Dialogue_End_SFX	
	349408092	BART_Card_Select			\UI\BarteringUI\BART_Card_Select	
	362751767	BART_Card_Shuffle			\UI\BarteringUI\BART_Card_Shuffle	
	424895062	B4rn3y_Dialogue_End_SFX			\Environment\NPC\B4rn3y\B4rn3y_Dialogue_End_SFX	
	478288748	BART_Effect_Card_Attack			\UI\BarteringUI\BART_Effect_Card_Attack	
	627084462	VoidDialogueSFX			\Environment\NPC\VoidDialogueSFX	
	709377256	UI_Menu_Cancel			\UI\MenuUI\UI_Menu_Cancel	
	884323815	BarterEventOpen			\UI\DialogueUI\BarterEventOpen	
	992791593	F1x_Dialogue_End_SFX			\Environment\NPC\F1x\F1x_Dialogue_End_SFX	
	1033222429	Play_Menu_ButtonUp			\SettingsUI\Play_Menu_ButtonUp	
	1085736370	UI_Menu_Highlight			\UI\MenuUI\UI_Menu_Highlight	
	1163963844	ConversationStart			\UI\DialogueUI\ConversationStart	
	1220165926	ElevatorStartup			\Environment\Objects\ElevatorStartup	
	1320354856	Eden_Dialogue_SFX			\Environment\NPC\Eden\Eden_Dialogue_SFX	
	1344299683	ElevatorHum			\Environment\Objects\ElevatorHum	
	1357484874	Play_Menu_Close			\SettingsUI\Play_Menu_Close	
	1381745615	Player_Dialogue_SFX			\Environment\Player\Player_Dialogue_SFX	
	1404805401	DoorOpen			\Environment\Objects\DoorOpen	
	1536324566	Play_Menu_ButtonDown			\SettingsUI\Play_Menu_ButtonDown	
	1665981749	UI_Barter_Menu_Confirm			\UI\BarteringUI\UI_Barter_Menu_Confirm	
	1681012287	PlayerFootsteps			\Environment\Player\PlayerFootsteps	
	1851462748	ItemPickup			\Environment\Objects\ItemPickup	
	1890003741	UI_Menu_Highlight_Down			\UI\MenuUI\UI_Menu_Highlight_Down	
	1995159183	ENV_Interaction_Arrow_Show			\UI\EnvironmentUI\ENV_Interaction_Arrow_Show	
	2034897212	BART_Card_Highlight			\UI\BarteringUI\BART_Card_Highlight	
	2140684973	BarterEventClose			\UI\DialogueUI\BarterEventClose	
	2186217851	LightAmbience			\Environment\Objects\LightAmbience	
	2236624421	ENV_F1x_Dont_Bite			\Environment\NPC\F1x\ENV_F1x_Dont_Bite	
	2236734574	Play_Menu_Open			\SettingsUI\Play_Menu_Open	
	2346769448	NPCDialogueEndSFX			\Environment\NPC\NPCDialogueEndSFX	
	2602999364	BART_Barter_Win			\UI\BarteringUI\BART_Barter_Win	
	2691229948	BART_Effect_Card_Trigger			\UI\BarteringUI\BART_Effect_Card_Trigger	
	3128847931	F1x_Dialogue_SFX			\Environment\NPC\F1x\F1x_Dialogue_SFX	
	3226991506	UI_Menu_Close			\UI\MenuUI\UI_Menu_Close	
	3231741181	UI_Barter_Menu_Highlight			\UI\BarteringUI\UI_Barter_Menu_Highlight	
	3283805861	ENV_B4rn3y_Identified			\Environment\NPC\B4rn3y\ENV_B4rn3y_Identified	
	3302900089	BART_Barter_Lose			\UI\BarteringUI\BART_Barter_Lose	
	3457263945	NPCDialogueSFX			\Environment\NPC\NPCDialogueSFX	
	3518274178	Eden_Dialogue_End_SFX			\Environment\NPC\Eden\Eden_Dialogue_End_SFX	
	3630843069	BART_Card_Place			\UI\BarteringUI\BART_Card_Place	
	3764842872	ENV_B4rn3y_Hoot			\Environment\NPC\B4rn3y\ENV_B4rn3y_Hoot	
	3804709036	ENV_Interaction_Arrow_Hide			\UI\EnvironmentUI\ENV_Interaction_Arrow_Hide	
	3809055548	B4rn3y_Dialogue_SFX			\Environment\NPC\B4rn3y\B4rn3y_Dialogue_SFX	
	4083126854	UI_Menu_Open			\UI\MenuUI\UI_Menu_Open	
	4089696065	BART_Effect_Card_Flip			\UI\BarteringUI\BART_Effect_Card_Flip	
	4139473738	ENV_Eden_Hello			\Environment\NPC\Eden\ENV_Eden_Hello	
	4203990704	ENV_Eden_Expel			\Environment\NPC\Eden\ENV_Eden_Expel	

State Group	ID	Name			Wwise Object Path	Notes
	3124027310	CurrentMusicKey			\Default Work Unit\CurrentMusicKey	

State	ID	Name	State Group			Notes
	84696440	G	CurrentMusicKey			
	84696441	F	CurrentMusicKey			
	84696442	E	CurrentMusicKey			
	84696443	D	CurrentMusicKey			
	84696444	C	CurrentMusicKey			
	84696445	B	CurrentMusicKey			
	84696446	A	CurrentMusicKey			
	164139463	A_Sharp	CurrentMusicKey			
	748895195	None	CurrentMusicKey			
	844677726	D_Sharp	CurrentMusicKey			
	951594152	F_Sharp	CurrentMusicKey			
	2816864521	C_Sharp	CurrentMusicKey			
	3736223277	G_Sharp	CurrentMusicKey			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22629229	NPC_Dialogue_SFX	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\C1\{C1480379-8F11-ECE3-1BB6-987D9A792755}.wem		\Actor-Mixer Hierarchy\Environment\NPC\DialogueSounds\NPC_Dialogue_SFX		18768
	30006150	ENV_Temp_Concrete_Footstep_4	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\95\{95152FA5-3B88-1220-87A3-42A87812B507}.wem		\Actor-Mixer Hierarchy\Environment\Player\ENV_Player_Footstep_Concrete\ENV_Temp_Concrete_Footstep_4		196668
	31251656	UI_Conversation_Start	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\17\{17C955D4-A38C-0591-1F55-C7623E1703DF}.wem		\Actor-Mixer Hierarchy\UI\DialogueUI\UI_Conversation_Start		104988
	52698121	ENV_Eden_Expel_1	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\11\{11FAB7D7-4789-6C65-FC7B-A2AE68C56628}.wem		\Actor-Mixer Hierarchy\Environment\NPC\Eden\ENV_Eden_Expel\ENV_Eden_Expel_1		269740
	58276907	NPC_Eden_Dialogue_SFX_End	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\46\{46B59CDB-AFC8-0EE4-0BB7-F63248B49735}.wem		\Actor-Mixer Hierarchy\Environment\NPC\DialogueSounds\NPC_Eden_Dialogue_SFX_End		19668
	58682502	ENV_Eden_Hello_1	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\6F\{6F2636E7-BECD-8A30-9AEC-5DEB5CD99CCD}.wem		\Actor-Mixer Hierarchy\Environment\NPC\Eden\ENV_Eden_Hello\ENV_Eden_Hello_1		178960
	73219108	ENV_Eden_Hello_4	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\CE\{CEAD5F9A-730C-F501-3CF9-FC2898B2C3BB}.wem		\Actor-Mixer Hierarchy\Environment\NPC\Eden\ENV_Eden_Hello\ENV_Eden_Hello_4		176712
	99042756	Void_Dialogue_SFX_1	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\39\{3937ED77-625C-1D1D-818E-F0C64F6E4B69}.wem		\Actor-Mixer Hierarchy\Environment\NPC\DialogueSounds\Void_Dialogue_SFX\Void_Dialogue_SFX_1		37992
	109801595	ENV_Eden_Hello_2	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\4C\{4CF3FB52-6A30-5E96-816E-98D4C56C1F54}.wem		\Actor-Mixer Hierarchy\Environment\NPC\Eden\ENV_Eden_Hello\ENV_Eden_Hello_2		209520
	112805279	ENV_Elevator_Hum	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\41\{41C42176-097A-E88D-E8DE-8BC9AF255817}.wem		\Actor-Mixer Hierarchy\Environment\Objects\ENV_Elevator_Hum		1469012
	119656223	NPC_F1x_Dialogue_SFX_End	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\16\{16FC92E6-B7F5-F0E7-7DEC-50CD8E88AF6D}.wem		\Actor-Mixer Hierarchy\Environment\NPC\DialogueSounds\NPC_F1x_Dialogue_SFX_End		21772
	133687762	UI_Menu_Close	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\1B\{1BE1A56E-C960-43B9-D0B9-36E6C6AF414C}.wem		\Actor-Mixer Hierarchy\UI\MenuUI\UI_Menu_Close		384096
	145118918	ENV_Door_Open	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\CD\{CD6028BE-E313-3E4E-DA02-4312A97EDA95}.wem		\Actor-Mixer Hierarchy\Environment\Objects\ENV_Door_Open		255908
	158374870	B4rn3y_Identified_3	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\F8\{F84B9A4B-05F9-06A6-5774-3EFCC237C891}.wem		\Actor-Mixer Hierarchy\Environment\NPC\B4rn3y\B4rn3y_Identified\B4rn3y_Identified_3		766764
	170357022	B4rn3y_Identified_4	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\B9\{B9FE579A-7759-566B-DDA8-4455F72B72F2}.wem		\Actor-Mixer Hierarchy\Environment\NPC\B4rn3y\B4rn3y_Identified\B4rn3y_Identified_4		776884
	172961244	NPC_Dialogue_SFX_End	C:\Users\micha\Documents\Unity Projects\Project_TRT\Project_TRT_WwiseProject\.cache\35\{35E95743-334D-BF02-46A7-8A441625120A}.wem		\Actor-Mixer Hierarchy\Environment\NPC\DialogueSounds\NPC_Dialogue_SFX_End		24176
